"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 14 22:06:39 MSK 2021","Mon Jun 14 22:06:39 MSK 2021","483","Gradle suite","Gradle test","SmokeTests","SmokeTests","zeroPlanetSmokeTest","Get planet with wrong id",""
"passed","Mon Jun 14 22:06:37 MSK 2021","Mon Jun 14 22:06:37 MSK 2021","242","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetPositive","Search planet positive",""
"passed","Mon Jun 14 22:06:37 MSK 2021","Mon Jun 14 22:06:38 MSK 2021","294","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetPositive","Search planet positive",""
"passed","Mon Jun 14 22:06:37 MSK 2021","Mon Jun 14 22:06:37 MSK 2021","234","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetPositive","Search planet positive",""
"passed","Mon Jun 14 22:06:37 MSK 2021","Mon Jun 14 22:06:37 MSK 2021","237","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetPositive","Search planet positive",""
"passed","Mon Jun 14 22:06:36 MSK 2021","Mon Jun 14 22:06:36 MSK 2021","241","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetNegative","Search planet negative",""
"passed","Mon Jun 14 22:06:38 MSK 2021","Mon Jun 14 22:06:38 MSK 2021","268","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetPositive","Search planet positive",""
"passed","Mon Jun 14 22:06:36 MSK 2021","Mon Jun 14 22:06:36 MSK 2021","304","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetNegative","Search planet negative",""
"passed","Mon Jun 14 22:06:36 MSK 2021","Mon Jun 14 22:06:37 MSK 2021","310","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetNegative","Search planet negative",""
"passed","Mon Jun 14 22:06:38 MSK 2021","Mon Jun 14 22:06:39 MSK 2021","541","Gradle suite","Gradle test","SmokeTests","SmokeTests","thirdPlanetSmokeTest","Get and check planet data",""
"passed","Mon Jun 14 22:06:33 MSK 2021","Mon Jun 14 22:06:36 MSK 2021","2575","Gradle suite","Gradle test","SearchTests","SearchTests","searchPlanetNegative","Search planet negative",""
